,Year,a1,b1,b2,b3,b4,b5,a2,w1,w2,w3,w4,w5
91,1972,Top 5:,Katina: 2803.16% (from 95 to 2758),Chastity: 340.0% (from 50 to 220),Brandy: 187.5% (from 752 to 2162),Kami: 160.34% (from 116 to 302),Brandi: 159.37% (from 795 to 2062),Bottom 5:,Shayla: -54.88% (from 164 to 74),Ashli: -53.33% (from 120 to 56),Raina: -51.14% (from 176 to 86),Geraldine: -47.2% (from 411 to 217),Kendell: -44.9% (from 98 to 54)
92,1973,Top 5:,Alethea: 387.88% (from 66 to 322),Carly: 232.43% (from 74 to 246),Anitra: 210.71% (from 56 to 174),Danyelle: 194.12% (from 51 to 150),Tracee: 152.42% (from 124 to 313),Bottom 5:,Tatanisha: -54.05% (from 111 to 51),Anissa: -51.63% (from 459 to 222),Ayanna: -48.4% (from 343 to 177),Cherilyn: -47.83% (from 161 to 84),Vidal: -45.78% (from 166 to 90)
93,1974,Top 5:,Jolene: 261.43% (from 293 to 1059),Cortney: 250.82% (from 61 to 214),Miranda: 188.96% (from 326 to 942),Syreeta: 170.59% (from 51 to 138),Courtney: 162.25% (from 1033 to 2709),Bottom 5:,Catina: -73.55% (from 1244 to 329),Katina: -68.85% (from 2485 to 774),Tracee: -55.91% (from 313 to 138),Jory: -44.26% (from 122 to 68),Vidal: -42.22% (from 90 to 52)
94,1975,Top 5:,Mandy: 509.64% (from 446 to 2719),Mandi: 426.77% (from 127 to 669),Tiana: 384.31% (from 51 to 247),Tamiko: 283.97% (from 131 to 503),Taryn: 257.69% (from 130 to 465),Bottom 5:,Cicely: -53.52% (from 256 to 119),Nia: -53.36% (from 223 to 104),Alethea: -49.75% (from 201 to 101),Catina: -47.11% (from 329 to 174),Teena: -41.51% (from 106 to 62)
95,1976,Top 5:,Farrah: 921.95% (from 82 to 838),Tennille: 654.37% (from 103 to 777),Nadia: 586.05% (from 86 to 590),Jaclyn: 537.25% (from 51 to 325),Jaime: 322.02% (from 2189 to 9238),Bottom 5:,Nyree: -61.15% (from 139 to 54),Syreeta: -60.22% (from 181 to 72),Nakia: -59.62% (from 1486 to 600),Azure: -50.41% (from 121 to 60),Glendon: -49.57% (from 117 to 59)
96,1977,Top 5:,Jaclyn: 498.46% (from 325 to 1945),Jillian: 322.22% (from 252 to 1064),Haley: 300.85% (from 117 to 469),Shaun: 299.55% (from 668 to 2669),Talia: 212.86% (from 70 to 219),Bottom 5:,Liberty: -78.34% (from 337 to 73),Luciana: -58.36% (from 317 to 132),Tennille: -44.4% (from 777 to 432),Danyel: -42.58% (from 155 to 89),Cherilyn: -40.5% (from 121 to 72)
97,1978,Top 5:,Kylie: 900.0% (from 52 to 520),Meghann: 467.92% (from 53 to 301),Kiley: 409.52% (from 63 to 321),Chrissy: 369.75% (from 119 to 559),Shavon: 298.33% (from 60 to 239),Bottom 5:,Farrah: -78.1% (from 1516 to 332),Kunta: -76.68% (from 223 to 52),Shalon: -68.33% (from 180 to 57),Tennille: -67.36% (from 432 to 141),Farah: -62.07% (from 174 to 66)
98,1979,Top 5:,Brianne: 727.72% (from 202 to 1672),Viviana: 273.68% (from 114 to 426),Nicolette: 266.18% (from 68 to 249),Maren: 179.01% (from 81 to 226),Ashanti: 172.15% (from 79 to 215),Bottom 5:,Tamiko: -59.7% (from 134 to 54),Kristoffer: -54.43% (from 305 to 139),Catina: -45.22% (from 115 to 63),Kenisha: -43.13% (from 313 to 178),Christel: -42.79% (from 201 to 115)
99,1980,Top 5:,Anya: 363.89% (from 72 to 334),Renata: 218.42% (from 228 to 726),Caitlin: 154.51% (from 255 to 649),Bo: 148.11% (from 106 to 263),Tai: 140.96% (from 83 to 200),Bottom 5:,Kizzy: -55.6% (from 268 to 119),Domenica: -53.39% (from 118 to 55),Viviana: -51.41% (from 426 to 207),Rasheeda: -47.1% (from 138 to 73),Marlana: -45.83% (from 144 to 78)
100,1981,Top 5:,Sheena: 356.25% (from 144 to 657),Kellen: 316.98% (from 53 to 221),Martine: 287.27% (from 55 to 213),Nereida: 192.45% (from 53 to 155),Evita: 180.0% (from 75 to 210),Bottom 5:,Renata: -69.15% (from 726 to 224),Renada: -60.0% (from 240 to 96),Kylene: -57.05% (from 149 to 64),Ashanti: -50.47% (from 212 to 105),Anya: -50.3% (from 334 to 166)
101,1982,Top 5:,Kayla: 615.09% (from 318 to 2274),Chase: 357.42% (from 209 to 956),Chelsey: 312.82% (from 78 to 322),Kala: 301.85% (from 54 to 217),Chelsea: 217.9% (from 542 to 1723),Bottom 5:,Evita: -54.76% (from 210 to 95),Martine: -50.7% (from 213 to 105),January: -46.79% (from 109 to 58),Reagan: -46.58% (from 161 to 86),Olympia: -45.19% (from 104 to 57)
102,1983,Top 5:,Marquita: 1902.34% (from 128 to 2563),Mallory: 1194.44% (from 54 to 699),Trista: 437.25% (from 153 to 822),Kirby: 344.71% (from 85 to 378),Savannah: 272.88% (from 118 to 440),Bottom 5:,Syreeta: -64.05% (from 242 to 87),Toccara: -56.59% (from 364 to 158),Trish: -56.45% (from 124 to 54),Jenilee: -55.73% (from 192 to 85),Bret: -53.53% (from 1104 to 513)
103,1984,Top 5:,Jenna: 404.97% (from 1168 to 5898),Grisel: 276.79% (from 56 to 211),Chance: 272.61% (from 241 to 898),Brenton: 221.12% (from 251 to 806),Kaylee: 203.17% (from 63 to 191),Bottom 5:,Dwan: -74.9% (from 239 to 60),Kaleena: -70.38% (from 341 to 101),Toccara: -58.23% (from 158 to 66),Marguita: -52.21% (from 136 to 65),Marquita: -46.39% (from 2563 to 1374)
104,1985,Top 5:,Cierra: 580.6% (from 67 to 456),Sierra: 414.04% (from 235 to 1208),Madison: 353.57% (from 84 to 381),Krystina: 301.1% (from 91 to 365),Ciera: 289.06% (from 64 to 249),Bottom 5:,Grisel: -73.46% (from 211 to 56),Marquita: -61.06% (from 1374 to 535),Ciji: -60.0% (from 150 to 60),Nena: -51.85% (from 108 to 52),Claribel: -47.86% (from 117 to 61)
105,1986,Top 5:,Nikita: 458.12% (from 191 to 1066),Addison: 347.95% (from 73 to 327),Kayleigh: 254.5% (from 211 to 748),Cordell: 252.38% (from 63 to 222),Kaleigh: 246.99% (from 83 to 288),Bottom 5:,Teena: -65.07% (from 146 to 51),Shequita: -60.16% (from 128 to 51),Shenna: -55.32% (from 141 to 63),Sharina: -54.05% (from 111 to 51),Keena: -52.32% (from 151 to 72)
106,1987,Top 5:,Ayla: 253.76% (from 93 to 329),Corbin: 206.33% (from 79 to 242),Spenser: 184.95% (from 93 to 265),Mychal: 184.21% (from 57 to 162),Yessenia: 179.78% (from 89 to 249),Bottom 5:,Halley: -80.56% (from 355 to 69),Durell: -59.35% (from 123 to 50),Cherrelle: -56.91% (from 188 to 81),Eliana: -55.89% (from 492 to 217),Sharde: -54.21% (from 190 to 87)
107,1988,Top 5:,Whitley: 942.0% (from 50 to 521),Jalisa: 612.33% (from 73 to 520),Shanice: 573.57% (from 140 to 943),Jaleesa: 518.97% (from 116 to 718),Infant: 210.0% (from 50 to 155),Bottom 5:,Channing: -48.53% (from 443 to 228),Latara: -48.37% (from 153 to 79),Kellye: -44.83% (from 145 to 80),Jayce: -44.44% (from 90 to 50),Krystina: -42.71% (from 480 to 275)
108,1989,Top 5:,Kiara: 1106.17% (from 227 to 2738),Infant: 395.48% (from 155 to 768),Ethan: 354.41% (from 895 to 4067),Hakeem: 329.23% (from 65 to 279),Stephani: 321.19% (from 151 to 636),Bottom 5:,Taja: -48.65% (from 259 to 133),Diandra: -46.6% (from 191 to 102),Shanice: -43.05% (from 943 to 537),Rosanne: -42.27% (from 97 to 56),Caryn: -40.36% (from 223 to 133)
109,1990,Top 5:,Denzel: 796.43% (from 56 to 502),Shaniqua: 352.69% (from 186 to 842),Gage: 289.47% (from 171 to 666),Dalton: 287.47% (from 407 to 1577),Symone: 279.37% (from 63 to 239),Bottom 5:,Katherin: -80.14% (from 277 to 55),Stephani: -72.8% (from 636 to 173),Gabriell: -64.58% (from 144 to 51),Andreina: -59.26% (from 162 to 66),Jaren: -58.57% (from 210 to 87)
110,1991,Top 5:,Iesha: 568.42% (from 285 to 1905),Mariah: 371.44% (from 1103 to 5200),Ieshia: 312.68% (from 71 to 293),Gunnar: 267.86% (from 56 to 206),Miriah: 219.05% (from 63 to 201),Bottom 5:,Infant: -64.66% (from 1177 to 416),Kaneesha: -61.71% (from 175 to 67),Cecily: -53.22% (from 404 to 189),Brianda: -52.5% (from 160 to 76),Izamar: -50.88% (from 114 to 56)
111,1992,Top 5:,Devante: 1110.69% (from 131 to 1586),Shanice: 511.51% (from 304 to 1859),Devonta: 450.0% (from 60 to 330),Devonte: 413.08% (from 260 to 1334),Davonte: 398.81% (from 84 to 419),Bottom 5:,Iesha: -69.5% (from 1905 to 581),Ieshia: -62.12% (from 293 to 111),Rebeccah: -59.14% (from 186 to 76),Male: -53.36% (from 223 to 104),Sinead: -50.35% (from 143 to 71)
112,1993,Top 5:,Yaritza: 267.14% (from 140 to 514),Deyanira: 265.45% (from 55 to 201),Halle: 228.74% (from 87 to 286),Shaquille: 213.63% (from 609 to 1910),Khadijah: 175.32% (from 158 to 435),Bottom 5:,Latifah: -70.92% (from 251 to 73),Hilary: -70.32% (from 1176 to 349),Shanae: -65.77% (from 336 to 115),Jodeci: -63.74% (from 171 to 62),Martika: -61.45% (from 179 to 69)
113,1994,Top 5:,Aliyah: 1007.58% (from 66 to 731),Zhane: 466.67% (from 69 to 391),Khadijah: 272.87% (from 435 to 1622),Clarisa: 236.46% (from 96 to 323),Regine: 214.55% (from 55 to 173),Bottom 5:,Coraima: -66.06% (from 221 to 75),Hillary: -61.25% (from 1071 to 415),Hilary: -58.45% (from 349 to 145),Kalene: -58.33% (from 204 to 85),Yaritza: -57.98% (from 514 to 216)
114,1995,Top 5:,Shania: 747.06% (from 68 to 576),Alondra: 718.12% (from 149 to 1219),Deja: 484.9% (from 245 to 1433),Tristan: 474.45% (from 587 to 3372),Tristen: 461.9% (from 147 to 826),Bottom 5:,Kadijah: -75.51% (from 486 to 119),Khadijah: -73.0% (from 1622 to 438),Nohely: -70.23% (from 215 to 64),Zana: -69.84% (from 252 to 76),Tkeyah: -69.77% (from 172 to 52)
115,1996,Top 5:,Tamia: 620.9% (from 67 to 483),Zaria: 366.13% (from 62 to 289),Jaycie: 292.16% (from 51 to 200),Xena: 282.19% (from 73 to 279),Odalis: 281.36% (from 59 to 225),Bottom 5:,Unknown: -77.49% (from 471 to 106),Kijana: -58.82% (from 136 to 56),Iridian: -56.56% (from 221 to 96),Rashaan: -55.71% (from 140 to 62),Savon: -53.79% (from 132 to 61)
116,1997,Top 5:,Julissa: 413.58% (from 265 to 1361),Kobe: 317.24% (from 87 to 363),Julisa: 294.59% (from 74 to 292),Jarod: 241.67% (from 216 to 738),Salma: 188.12% (from 101 to 291),Bottom 5:,Yamilex: -68.11% (from 301 to 96),Shaquille: -61.6% (from 250 to 96),Courteney: -57.81% (from 128 to 54),Shaniah: -56.34% (from 142 to 62),Shania: -53.08% (from 1835 to 861)
117,1998,Top 5:,Dawson: 816.27% (from 209 to 1915),Mya: 555.1% (from 196 to 1284),Ireland: 268.06% (from 72 to 265),Ally: 245.65% (from 184 to 636),Abril: 224.24% (from 66 to 214),Bottom 5:,Yulissa: -67.81% (from 612 to 197),Shyheim: -50.0% (from 102 to 51),Asante: -47.52% (from 101 to 53),Jawan: -43.7% (from 119 to 67),Deidre: -43.69% (from 103 to 58)
118,1999,Top 5:,Amaya: 501.71% (from 117 to 704),Tyrese: 456.17% (from 308 to 1713),Noelia: 336.11% (from 72 to 314),Zion: 334.04% (from 285 to 1237),Citlalli: 276.67% (from 60 to 226),Bottom 5:,Jaret: -56.55% (from 359 to 156),Caylin: -55.0% (from 140 to 63),Juwan: -54.43% (from 395 to 180),Erykah: -52.9% (from 276 to 130),Naja: -52.67% (from 150 to 71)
119,2000,Top 5:,Litzy: 1200.0% (from 56 to 728),Brisa: 435.24% (from 105 to 562),Nyah: 427.27% (from 55 to 290),Yamilet: 419.61% (from 51 to 265),Axel: 283.25% (from 191 to 732),Bottom 5:,Jailene: -60.43% (from 513 to 203),Jurnee: -52.76% (from 127 to 60),Jordi: -51.8% (from 222 to 107),Tyrese: -48.63% (from 1713 to 880),Tayah: -48.54% (from 103 to 53)
120,2001,Top 5:,Nevaeh: 1138.38% (from 99 to 1226),Maximus: 374.47% (from 188 to 892),Ainsley: 357.36% (from 129 to 590),Nayeli: 341.39% (from 418 to 1845),Dafne: 286.21% (from 58 to 224),Bottom 5:,Dariana: -61.8% (from 267 to 102),Yamile: -60.78% (from 204 to 80),Elian: -53.52% (from 583 to 271),Tionne: -52.86% (from 140 to 66),Kelis: -52.63% (from 114 to 54)
121,2002,Top 5:,Ashanti: 873.11% (from 305 to 2968),Cael: 303.64% (from 55 to 222),Lisbeth: 246.61% (from 118 to 409),Lizbeth: 224.53% (from 795 to 2580),Cadence: 158.72% (from 109 to 282),Bottom 5:,Citlalli: -75.06% (from 413 to 103),Nallely: -59.48% (from 306 to 124),Jovana: -58.92% (from 185 to 76),Beyonce: -56.66% (from 353 to 153),Anayeli: -53.19% (from 188 to 88)
122,2003,Top 5:,Laci: 768.35% (from 79 to 686),Karyme: 292.19% (from 64 to 251),Maddox: 288.35% (from 103 to 400),Yahir: 278.53% (from 340 to 1287),Roselyn: 275.0% (from 64 to 240),Bottom 5:,Ashanti: -67.39% (from 2968 to 968),Ashante: -61.78% (from 157 to 60),Lisandro: -61.41% (from 184 to 71),Bode: -54.2% (from 131 to 60),Savion: -52.81% (from 392 to 185)
123,2004,Top 5:,Kanye: 505.75% (from 87 to 527),Kyan: 369.77% (from 86 to 404),Cameran: 296.88% (from 64 to 254),Rubi: 264.23% (from 123 to 448),Cohen: 253.93% (from 89 to 315),Bottom 5:,Arly: -74.31% (from 253 to 65),Naydelin: -64.33% (from 157 to 56),Isyss: -57.89% (from 133 to 56),Jaheim: -54.17% (from 552 to 253),Kobe: -48.41% (from 1227 to 633)
124,2005,Top 5:,Karol: 481.82% (from 77 to 448),Carmine: 225.4% (from 63 to 205),Leland: 219.33% (from 119 to 380),Braylon: 196.76% (from 278 to 825),Benedict: 196.23% (from 53 to 157),Bottom 5:,Kanye: -60.72% (from 527 to 207),Andon: -59.61% (from 203 to 82),Ayaan: -54.26% (from 129 to 59),Khamani: -49.1% (from 167 to 85),Caelan: -46.79% (from 156 to 83)
125,2006,Top 5:,Rihanna: 622.78% (from 79 to 571),Aundrea: 218.64% (from 59 to 188),Betsy: 210.92% (from 119 to 370),Mayte: 196.43% (from 84 to 249),Yaretzi: 196.3% (from 108 to 320),Bottom 5:,Baby: -82.75% (from 313 to 54),Mikalah: -81.93% (from 321 to 58),Jolette: -66.67% (from 258 to 86),Litzy: -60.25% (from 810 to 322),Betzaida: -59.09% (from 154 to 63)
126,2007,Top 5:,Audrina: 724.0% (from 50 to 412),Miley: 525.89% (from 197 to 1233),Jordin: 345.21% (from 146 to 650),Kingston: 344.83% (from 203 to 903),Azul: 330.85% (from 94 to 405),Bottom 5:,Talan: -57.13% (from 1080 to 463),Yaretzy: -55.0% (from 200 to 90),Odalis: -54.67% (from 150 to 68),Betzy: -52.84% (from 229 to 108),Brigitte: -49.06% (from 106 to 54)
127,2008,Top 5:,Aaden: 508.92% (from 157 to 956),Khloe: 283.63% (from 446 to 1711),Analia: 236.92% (from 65 to 219),Jadiel: 224.32% (from 74 to 240),Alisson: 216.95% (from 118 to 374),Bottom 5:,Kyndra: -55.83% (from 163 to 72),Zuleyka: -55.17% (from 116 to 52),Kelan: -54.23% (from 201 to 92),Joceline: -53.04% (from 115 to 54),Yoseline: -49.49% (from 99 to 50)
128,2009,Top 5:,Bristol: 440.91% (from 88 to 476),Analia: 354.79% (from 219 to 996),Knox: 265.59% (from 93 to 340),Analeigh: 210.94% (from 64 to 199),Jemma: 184.21% (from 76 to 216),Bottom 5:,Dayami: -77.3% (from 392 to 89),Mareli: -67.64% (from 411 to 133),Marely: -67.43% (from 1004 to 327),Corde: -66.26% (from 163 to 55),Mylie: -58.75% (from 337 to 139)
129,2010,Top 5:,Tenley: 1020.0% (from 60 to 672),Elin: 559.02% (from 61 to 402),Bentley: 500.75% (from 666 to 4001),Bentlee: 472.41% (from 58 to 332),Bently: 452.94% (from 68 to 376),Bottom 5:,Analia: -66.06% (from 996 to 338),Aaden: -64.62% (from 1272 to 450),Greidys: -60.22% (from 186 to 74),Caylee: -54.26% (from 1244 to 569),Kavion: -51.95% (from 154 to 74)
130,2011,Top 5:,Brantley: 199.41% (from 339 to 1015),Aleeah: 150.79% (from 63 to 158),Milania: 147.73% (from 132 to 327),Raylan: 144.52% (from 146 to 357),Flynn: 135.42% (from 96 to 226),Bottom 5:,Allisson: -70.06% (from 344 to 103),Khamani: -64.03% (from 139 to 50),Brisa: -49.16% (from 653 to 332),Shaniya: -45.05% (from 515 to 283),Mariajose: -43.86% (from 171 to 96)
131,2012,Top 5:,Adley: 408.97% (from 78 to 397),Gael: 296.69% (from 694 to 2753),Jionni: 293.65% (from 63 to 248),Litzy: 230.82% (from 146 to 483),Trayvon: 225.45% (from 55 to 179),Bottom 5:,Kiptyn: -53.9% (from 141 to 65),Dereon: -53.33% (from 120 to 56),Javan: -47.37% (from 95 to 50),Solange: -46.15% (from 130 to 70),Norma: -42.86% (from 105 to 60)
132,2013,Top 5:,Jayceon: 919.23% (from 182 to 1855),Jase: 302.02% (from 1138 to 4575),Ariane: 209.62% (from 52 to 161),Everly: 182.35% (from 289 to 816),Bane: 137.25% (from 51 to 121),Bottom 5:,Somaya: -68.6% (from 207 to 65),Litzy: -67.08% (from 483 to 159),Reegan: -49.0% (from 100 to 51),Adlee: -48.04% (from 102 to 53),Karol: -44.79% (from 163 to 90)
133,2014,Top 5:,Daleyza: 202.27% (from 485 to 1466),Gannon: 194.88% (from 254 to 749),Royal: 155.86% (from 290 to 742),Bode: 155.65% (from 115 to 294),Montserrat: 155.5% (from 209 to 534),Bottom 5:,Miley: -55.75% (from 800 to 354),Mylee: -55.02% (from 229 to 103),Jenni: -50.41% (from 121 to 60),Janely: -49.55% (from 111 to 56),Janney: -42.86% (from 224 to 128)
134,2015,Top 5:,Alaia: 548.48% (from 66 to 428),Adaline: 450.0% (from 164 to 902),Meilani: 359.68% (from 62 to 285),Aitana: 353.03% (from 66 to 299),Riaan: 294.83% (from 58 to 229),Bottom 5:,Isis: -70.68% (from 399 to 117),Tahiry: -64.03% (from 139 to 50),Janney: -59.38% (from 128 to 52),Arnav: -57.44% (from 242 to 103),Jaceyon: -49.51% (from 103 to 52)
135,2016,Top 5:,Lyanna: 248.39% (from 62 to 216),Oaklyn: 173.44% (from 64 to 175),Finnick: 166.07% (from 56 to 149),Harlyn: 152.94% (from 85 to 215),Royalty: 149.8% (from 249 to 622),Bottom 5:,Kaitlin: -55.37% (from 177 to 79),Isis: -54.7% (from 117 to 53),Caitlin: -54.51% (from 477 to 217),Caitlyn: -49.9% (from 493 to 247),Jackeline: -46.21% (from 132 to 71)
136,2017,Top 5:,Ensley: 256.58% (from 76 to 271),Oaklynn: 198.04% (from 102 to 304),Oaklyn: 169.71% (from 175 to 472),Dream: 160.58% (from 137 to 357),Moana: 147.37% (from 57 to 141),Bottom 5:,Hillary: -63.37% (from 172 to 63),Neriah: -47.64% (from 191 to 100),Riaan: -45.8% (from 262 to 142),Yurani: -44.33% (from 97 to 54),Armaan: -43.21% (from 162 to 92)
